28	Parsteel	\N	14000	2020-08-26 04:08:44	2020-08-26 04:08:44
29	2* Raw Gas	\N	\N	2020-08-26 04:08:44	2020-08-26 04:08:44
30	3* Raw Gas	\N	40000	2020-08-26 04:08:44	2020-08-26 04:08:44
31	3* Raw Ore	\N	5000	2020-08-26 04:08:44	2020-08-26 04:08:44
32	Bugged	\N	\N	2020-08-26 04:08:44	2020-08-26 04:08:44
33	2* Raw Ore	\N	18000	2020-08-26 04:08:44	2020-08-26 04:08:44
34	2* Raw Ore	\N	6	2020-08-26 04:08:44	2020-08-26 04:08:44
35	3* Raw Gas	\N	14000	2020-08-26 04:08:44	2020-08-26 04:08:44
36	Dilithium	\N	5000	2020-08-26 04:08:44	2020-08-26 04:08:44
37	Corrupted Data	\N	\N	2020-08-26 04:08:44	2020-08-26 04:08:44
38	Tritanium	\N	35000	2020-08-26 04:08:44	2020-08-26 04:08:44
39	3* Raw Gas	\N	8000	2020-08-26 04:08:44	2020-08-26 04:08:44
40	Dilithium	\N	6	2020-08-26 04:08:44	2020-08-26 04:08:44
41	Parsteel	\N	40000	2020-08-26 04:08:44	2020-08-26 04:08:44
42	3* Raw Crystal	\N	15000	2020-08-26 04:08:45	2020-08-26 04:08:45
43	Dilithium	\N	7000	2020-08-26 04:08:45	2020-08-26 04:08:45
44	3* Raw Crystal	\N	9000	2020-08-26 04:08:45	2020-08-26 04:08:45
45	2* Raw Crystal	\N	40000	2020-08-26 04:08:45	2020-08-26 04:08:45
46	2* Raw Ore	\N	40000	2020-08-26 04:08:45	2020-08-26 04:08:45
47	Tritanium	\N	13000	2020-08-26 04:08:45	2020-08-26 04:08:45
48	3* Raw Crystal	\N	4000	2020-08-26 04:08:45	2020-08-26 04:08:45
49	Tritanium	\N	6000	2020-08-26 04:08:45	2020-08-26 04:08:45
50	Tritanium	\N	128000	2020-08-26 04:08:45	2020-08-26 04:08:45
51	Parsteel	\N	100000	2020-08-26 04:08:45	2020-08-26 04:08:45
52	3* Raw Gas	\N	25000	2020-08-26 04:08:45	2020-08-26 04:08:45
53	Tritanium	\N	7000	2020-08-26 04:08:45	2020-08-26 04:08:45
54	3* Raw Ore	\N	8000	2020-08-26 04:08:45	2020-08-26 04:08:45
55	Decoded Data	\N	\N	2020-08-26 04:08:45	2020-08-26 04:08:45
56	3* Raw Ore	\N	18000	2020-08-26 04:08:46	2020-08-26 04:08:46
57	3* Raw Crystal	\N	60000	2020-08-26 04:08:46	2020-08-26 04:08:46
58	2* Raw Ore	\N	20000	2020-08-26 04:08:46	2020-08-26 04:08:46
59	Parsteel	\N	50000	2020-08-26 04:08:46	2020-08-26 04:08:46
60	2* Raw Ore	\N	\N	2020-08-26 04:08:46	2020-08-26 04:08:46
61	3* Raw Crystal	\N	\N	2020-08-26 04:08:46	2020-08-26 04:08:46
62	Tritanium	\N	2	2020-08-26 04:08:47	2020-08-26 04:08:47
63	3* Raw Crystal	\N	7000	2020-08-26 04:08:47	2020-08-26 04:08:47
64	Parsteel	\N	24000	2020-08-26 04:08:47	2020-08-26 04:08:47
65	2* Raw Gas	\N	14000	2020-08-26 04:08:47	2020-08-26 04:08:47
66	Dilithium	\N	2000	2020-08-26 04:08:47	2020-08-26 04:08:47
67	3* Raw Ore	\N	40000	2020-08-26 04:08:47	2020-08-26 04:08:47
68	2* Raw Crytal	\N	\N	2020-08-26 04:08:47	2020-08-26 04:08:47
69	3* Raw Crystal	\N	40000	2020-08-26 04:08:47	2020-08-26 04:08:47
70	Dilithium	\N	6000	2020-08-26 04:08:47	2020-08-26 04:08:47
71	Parsteel	\N	10000	2020-08-26 04:08:48	2020-08-26 04:08:48
72	Tritanium	\N	4000	2020-08-26 04:08:48	2020-08-26 04:08:48
73	3* Raw Crystal	\N	18000	2020-08-26 04:08:48	2020-08-26 04:08:48
74	Parsteel	\N	9000	2020-08-26 04:08:48	2020-08-26 04:08:48
75	3* Raw Gas	\N	9	2020-08-26 04:08:48	2020-08-26 04:08:48
76	3* Raw Gas	\N	60000	2020-08-26 04:08:48	2020-08-26 04:08:48
77	3* Raw Gas	\N	20000	2020-08-26 04:08:48	2020-08-26 04:08:48
78	2* Raw Gas	\N	45000	2020-08-26 04:08:49	2020-08-26 04:08:49
79	2* Raw Ore	\N	45000	2020-08-26 04:08:49	2020-08-26 04:08:49
80	3* Raw Ore	\N	60000	2020-08-26 04:08:49	2020-08-26 04:08:49
81	3* Raw Gas	\N	9000	2020-08-26 04:08:49	2020-08-26 04:08:49
82	PTritanium	\N	9000	2020-08-26 04:08:49	2020-08-26 04:08:49
83	Tritanium -9K)	\N	\N	2020-08-26 04:08:50	2020-08-26 04:08:50
84	Dilithim	\N	7000	2020-08-26 04:08:50	2020-08-26 04:08:50
85	Tritanium	\N	16000	2020-08-26 04:08:50	2020-08-26 04:08:50
86	Parsteel (40K	\N	\N	2020-08-26 04:08:50	2020-08-26 04:08:50
87	3* Raw Ore	\N	\N	2020-08-26 04:08:50	2020-08-26 04:08:50
